Compound_name,y_test,y_pred
bisphenol A,14.26315789,14.2048855
mecoprop-P,0.0,0.5
4-tert-butylbenzoic acid,17.53052632,17.510822
estrone,13.17692308,13.086889
equiline,14.51578947,14.496548
ibuprofen,11.17582418,11.1671715
naproxen,32.76923077,28.86816
mesterolone,6.241758242,6.2345157
ketoprofen,23.86813187,23.85877
butylparaben,8.150537634,8.143639
17-alpha-hydroxyprogesterone acetate,5.520879121,5.5136733
sulfaquinoxaline,16.79782609,16.621656
dehydroepiandrosterone,6.230769231,6.1712885
norethisterone,6.102197802,6.0763164
hexanophenone,8.989473684,8.971077
BHA (3-tert-Butyl-4-hydroxyanisole),5.368421053,5.3537054
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,4.3430314
ethisterone,4.791208791,4.770365
propylparaben,5.770833333,5.7636123
2-4-dichlorophenol,9.203296703,9.111405
exemestane,5.857142857,5.8425484
indole-3-butyric acid,10.27173913,10.178507
folinic acid sodium salt,17.97849462,17.970873
naphthalene,13.21052632,13.202839
linuron,10.25,10.241257
tert-butylhydroquinone,4.333333333,4.2451797
Rutin Hydrate,9.020833333,9.011872
diphenyl carbonate,6.073684211,6.0546756
(+)-catechin,9.391304348,9.377501
alpha-resorcylic acid,7.968421053,7.9539285
4-tert-butylphenol,3.726315789,3.71645
rifampicin,6.452631579,6.404548
butyl phenyl ether,6.094736842,6.074078
quercetin,7.8125,7.802267
valerophenone,5.968421053,5.956349
naringin,8.554347826,8.537311
1-2-4-trimethyl benzene,5.663157895,5.727909
betamethasone,2.984615385,2.9755003
toluic acid,6.357894737,6.344636
aspirin,9.186813187,9.167793
sulfamethoxazole,5.819565217,5.802252
Sebuthylazine,3.813186813,3.9337084
ethylparaben,3.731182796,3.7202568
diphenylmethanol,3.968421053,3.9573305
hippuric acid,8.840425532,8.831881
5-7-dimethoxycoumarin,5.758241758,5.7477674
carbamazepine,8.436170213,8.367527
alachlor,3.252747253,3.27012
4-hydroxy benzoic acid,3.536842105,3.5214136
2-ethoxybenzoic acid,7.968421053,7.954108
syringic acid,5.315789474,5.299106
3-4-dihydroxy benzoic acid,4.168421053,4.1518445
vanillic acid,4.084210526,4.1455073
butyrophenone,4.136842105,4.1299553
hydrochloridethiazide,4.924731183,4.9135423
sulfamethizole,4.192391304,4.181321
eugenol,3.861702128,3.8535728
diethyl phthalate,3.602150538,3.610152
3-4-dichloro aniline,0.958762887,0.9939465
1-cloro-4-nitrobenzene,4.526315789,4.508627
4-(dimethylamino)benzoic acid,3.776595745,3.7539375
3-nitrophenol,2.329787234,2.2049375
prednisone,1.665934066,1.7051839
cortisone,1.612222222,1.5991652
pyridine,0.0,0.5
trans-ferulic acid,1.865979381,1.8500862
propiophenone,2.978947368,3.8053746
tropolone,2.670212766,2.6588068
toluene,2.71875,2.6906786
(+)-carvone,3.946236559,3.930053
cinnamaldehyde,4.634408602,3.8053746
abiraterone,0.340425532,0.5753944
L-(-)-carvone,3.692307692,3.6873472
sulfathiazole,2.989130435,2.961755
methyl benzoate,2.993406593,2.9678354
m-cresol,2.094736842,2.080373
nortriptyline,-0.131868132,0.5
cinnamyl alcohol,2.451612903,2.4532194
trans-2-hexenyl acetate,0.968421053,0.97013545
camphor,1.720430108,1.7492144
anisole,2.620879121,2.7351873
vanillin,2.258064516,2.2954361
tropic acid,2.115789474,2.1802697
dimethyl phthalate,2.150537634,2.140632
antipyrine,6.298969072,6.2908235
acetophenone,1.926315789,1.9217874
benzene,1.625,1.6125803
gibberellic acid,0.505263158,0.7173079
1-3-butanediol diacrylate,1.010989011,1.0007032
sulfadiazine,1.275,1.4138371
ATRAZIN-DESETHYL-2-HYDROXY,1.402173913,1.6351385
phthalide,2.305263158,2.344049
sulfamerazine,0.985869565,0.97302294
4-Phenyl-1-3-Dioxane,1.431578947,1.4571351
p-benzoquinone,1.084210526,1.0917811
sulfacetamide,1.115217391,1.1053791
aldicarb,1.282608696,1.2735714
acetaminophen,1.075268817,1.0796129
pyrogallol,1.0,0.98731875
benzamide,1.483516484,1.4729584
pentoxifylline,2.731182796,2.7054794
formononetin,2.369565217,2.3496873
thiamethoxam,2.255319149,2.2423227
benzyl alcohol,0.642105263,0.6328466
metamitron,1.130434783,1.1084095
riboflavin,1.161290323,1.1953137
sulfaguanidine,0.44673913,0.50570774
L-(+)-ascorbic acid,0.290322581,0.5
Caffeine,0.541666667,0.532837
2-hydroxypyridine,0.819148936,0.80567867
thymine,0.234042553,0.5
