Compound_name,y_test,y_pred
sulfamethizole,4.192391304,5.289686610389706
sulfathiazole,2.989130435,5.289686610389706
sulfamerazine,0.985869565,5.289686610389706
sulfacetamide,1.115217391,5.289686610389706
sulfadiazine,1.275,5.289686610389706
sulfaguanidine,0.44673913,5.289686610389706
sulfaquinoxaline,16.79782609,5.289686610389706
sulfamethoxazole,5.819565217,5.289686610389706
prednisone,1.665934066,5.289686610389706
estrone,13.17692308,5.289686610389706
exemestane,5.857142857,5.289686610389706
17-alpha-hydroxyprogesterone acetate,5.520879121,5.289686610389706
cortisone,1.612222222,5.289686610389706
betamethasone,2.984615385,5.289686610389706
dehydroepiandrosterone,6.230769231,5.289686610389706
norethisterone,6.102197802,5.289686610389706
progesterone,12.87802198,5.289686610389706
pyridine,0.0,5.289686610389706
methyl benzoate,2.993406593,5.289686610389706
nitrocyclohexane,2.189010989,5.289686610389706
phenol,1.547252747,5.289686610389706
cumene,5.808791209,5.289686610389706
nandrolone,4.142857143,5.289686610389706
mesterolone,6.241758242,5.289686610389706
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,5.289686610389706
purpurin,0.0,5.289686610389706
ketoprofen,23.86813187,5.289686610389706
naproxen,32.76923077,5.289686610389706
ibuprofen,11.17582418,5.289686610389706
aspirin,9.186813187,5.289686610389706
ethisterone,4.791208791,5.289686610389706
testosterone cypionate,9.582417582,5.289686610389706
testosterone isocaproate,10.7032967,5.289686610389706
testosterone undecanoate,10.61538462,5.289686610389706
Caffeine,0.541666667,5.289686610389706
propylparaben,5.770833333,5.289686610389706
benzene,1.625,5.289686610389706
toluene,2.71875,5.289686610389706
1-cloro-4-nitrobenzene,4.526315789,5.289686610389706
3-(2-furyl)acrylic acid,4.621052632,5.289686610389706
phthalide,2.305263158,5.289686610389706
diphenylmethanol,3.968421053,5.289686610389706
m-cresol,2.094736842,5.289686610389706
p-benzoquinone,1.084210526,5.289686610389706
catechol,1.168421053,5.289686610389706
3-4-dihydroxy benzoic acid,4.168421053,5.289686610389706
4-hydroxy benzoic acid,3.536842105,5.289686610389706
benzyl alcohol,0.642105263,5.289686610389706
3-(5-methylfuran-2-yl)-propionic acid,2.115789474,5.289686610389706
syringic acid,5.315789474,5.289686610389706
alpha-resorcylic acid,7.968421053,5.289686610389706
pyrogallol,1.0,5.289686610389706
acetophenone,1.926315789,5.289686610389706
propiophenone,2.978947368,5.289686610389706
butyrophenone,4.136842105,5.289686610389706
valerophenone,5.968421053,5.289686610389706
hexanophenone,8.989473684,5.289686610389706
4-tert-butylphenol,3.726315789,5.289686610389706
2-7-dihydroxy naphthalene,12.25263158,5.289686610389706
gibberellic acid,0.505263158,5.289686610389706
4-Phenyl-1-3-Dioxane,1.431578947,5.289686610389706
vanillic acid,4.084210526,5.289686610389706
benzoin methyl ether,5.084210526,5.289686610389706
diphenyl carbonate,6.073684211,5.289686610389706
trans-2-hexenyl acetate,0.968421053,5.289686610389706
4-tert-butylbenzoic acid,17.53052632,5.289686610389706
bisphenol A,14.26315789,5.289686610389706
BHA (3-tert-Butyl-4-hydroxyanisole),5.368421053,5.289686610389706
butyl phenyl ether,6.094736842,5.289686610389706
toluic acid,6.357894737,5.289686610389706
Sebuthylazine,3.813186813,5.289686610389706
aldicarb,1.282608696,5.289686610389706
MCPB,15.27173913,5.289686610389706
indole-3-butyric acid,10.27173913,5.289686610389706
ATRAZIN-DESETHYL-2-HYDROXY,1.402173913,5.289686610389706
mecoprop-P,0.0,5.289686610389706
cyanazin,3.282608696,5.289686610389706
ISOPROTURON,5.391304348,5.289686610389706
metamitron,1.130434783,5.289686610389706
terbutylazine,5.510869565,5.289686610389706
linuron,10.25,5.289686610389706
1-3-butanediol diacrylate,1.010989011,5.289686610389706
nortriptyline,-0.131868132,5.289686610389706
5-7-dimethoxycoumarin,5.758241758,5.289686610389706
trans-ferulic acid,1.865979381,5.289686610389706
quercetin,7.8125,5.289686610389706
Rutin Hydrate,9.020833333,5.289686610389706
(+)-catechin hydrate,4.301075269,5.289686610389706
pentoxifylline,2.731182796,5.289686610389706
naringin,8.554347826,5.289686610389706
(-)-epicatechin,9.752688172,5.289686610389706
(+)-catechin,9.391304348,5.289686610389706
tert-butylhydroquinone,4.333333333,5.289686610389706
propyl gallate,7.691489362,5.289686610389706
folinic acid sodium salt,17.97849462,5.289686610389706
riboflavin,1.161290323,5.289686610389706
L-(+)-ascorbic acid,0.290322581,5.289686610389706
hydrochloridethiazide,4.924731183,5.289686610389706
5-5-diphenylhydantoin,8.688172043,5.289686610389706
antipyrine,6.298969072,5.289686610389706
acetaminophen,1.075268817,5.289686610389706
isoeugenol,5.59375,5.289686610389706
eugenol,3.861702128,5.289686610389706
L-(-)-carvone,3.692307692,5.289686610389706
vanillin,2.258064516,5.289686610389706
