Compound_name,y_test,y_pred
bisphenol A,14.26315789,5.042917815612613
mecoprop-P,0.0,5.042917815612613
4-tert-butylbenzoic acid,17.53052632,5.042917815612613
estrone,13.17692308,5.042917815612613
equiline,14.51578947,5.042917815612613
ibuprofen,11.17582418,5.042917815612613
naproxen,32.76923077,5.042917815612613
mesterolone,6.241758242,5.042917815612613
ketoprofen,23.86813187,5.042917815612613
butylparaben,8.150537634,5.042917815612613
17-alpha-hydroxyprogesterone acetate,5.520879121,5.042917815612613
sulfaquinoxaline,16.79782609,5.042917815612613
dehydroepiandrosterone,6.230769231,5.042917815612613
norethisterone,6.102197802,5.042917815612613
hexanophenone,8.989473684,5.042917815612613
BHA (3-tert-Butyl-4-hydroxyanisole),5.368421053,5.042917815612613
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,5.042917815612613
ethisterone,4.791208791,5.042917815612613
propylparaben,5.770833333,5.042917815612613
2-4-dichlorophenol,9.203296703,5.042917815612613
exemestane,5.857142857,5.042917815612613
indole-3-butyric acid,10.27173913,5.042917815612613
folinic acid sodium salt,17.97849462,5.042917815612613
naphthalene,13.21052632,5.042917815612613
linuron,10.25,5.042917815612613
tert-butylhydroquinone,4.333333333,5.042917815612613
Rutin Hydrate,9.020833333,5.042917815612613
diphenyl carbonate,6.073684211,5.042917815612613
(+)-catechin,9.391304348,5.042917815612613
alpha-resorcylic acid,7.968421053,5.042917815612613
4-tert-butylphenol,3.726315789,5.042917815612613
rifampicin,6.452631579,5.042917815612613
butyl phenyl ether,6.094736842,5.042917815612613
quercetin,7.8125,5.042917815612613
valerophenone,5.968421053,5.042917815612613
naringin,8.554347826,5.042917815612613
1-2-4-trimethyl benzene,5.663157895,5.042917815612613
betamethasone,2.984615385,5.042917815612613
toluic acid,6.357894737,5.042917815612613
aspirin,9.186813187,5.042917815612613
sulfamethoxazole,5.819565217,5.042917815612613
Sebuthylazine,3.813186813,5.042917815612613
ethylparaben,3.731182796,5.042917815612613
diphenylmethanol,3.968421053,5.042917815612613
hippuric acid,8.840425532,5.042917815612613
5-7-dimethoxycoumarin,5.758241758,5.042917815612613
carbamazepine,8.436170213,5.042917815612613
alachlor,3.252747253,5.042917815612613
4-hydroxy benzoic acid,3.536842105,5.042917815612613
2-ethoxybenzoic acid,7.968421053,5.042917815612613
syringic acid,5.315789474,5.042917815612613
3-4-dihydroxy benzoic acid,4.168421053,5.042917815612613
vanillic acid,4.084210526,5.042917815612613
butyrophenone,4.136842105,5.042917815612613
hydrochloridethiazide,4.924731183,5.042917815612613
sulfamethizole,4.192391304,5.042917815612613
eugenol,3.861702128,5.042917815612613
diethyl phthalate,3.602150538,5.042917815612613
3-4-dichloro aniline,0.958762887,5.042917815612613
1-cloro-4-nitrobenzene,4.526315789,5.042917815612613
4-(dimethylamino)benzoic acid,3.776595745,5.042917815612613
3-nitrophenol,2.329787234,5.042917815612613
prednisone,1.665934066,5.042917815612613
cortisone,1.612222222,5.042917815612613
pyridine,0.0,5.042917815612613
trans-ferulic acid,1.865979381,5.042917815612613
propiophenone,2.978947368,5.042917815612613
tropolone,2.670212766,5.042917815612613
toluene,2.71875,5.042917815612613
(+)-carvone,3.946236559,5.042917815612613
cinnamaldehyde,4.634408602,5.042917815612613
abiraterone,0.340425532,5.042917815612613
L-(-)-carvone,3.692307692,5.042917815612613
sulfathiazole,2.989130435,5.042917815612613
methyl benzoate,2.993406593,5.042917815612613
m-cresol,2.094736842,5.042917815612613
nortriptyline,-0.131868132,5.042917815612613
cinnamyl alcohol,2.451612903,5.042917815612613
trans-2-hexenyl acetate,0.968421053,5.042917815612613
camphor,1.720430108,5.042917815612613
anisole,2.620879121,5.042917815612613
vanillin,2.258064516,5.042917815612613
tropic acid,2.115789474,5.042917815612613
dimethyl phthalate,2.150537634,5.042917815612613
antipyrine,6.298969072,5.042917815612613
acetophenone,1.926315789,5.042917815612613
benzene,1.625,5.042917815612613
gibberellic acid,0.505263158,5.042917815612613
1-3-butanediol diacrylate,1.010989011,5.042917815612613
sulfadiazine,1.275,5.042917815612613
ATRAZIN-DESETHYL-2-HYDROXY,1.402173913,5.042917815612613
phthalide,2.305263158,5.042917815612613
sulfamerazine,0.985869565,5.042917815612613
4-Phenyl-1-3-Dioxane,1.431578947,5.042917815612613
p-benzoquinone,1.084210526,5.042917815612613
sulfacetamide,1.115217391,5.042917815612613
aldicarb,1.282608696,5.042917815612613
acetaminophen,1.075268817,5.042917815612613
pyrogallol,1.0,5.042917815612613
benzamide,1.483516484,5.042917815612613
pentoxifylline,2.731182796,5.042917815612613
formononetin,2.369565217,5.042917815612613
thiamethoxam,2.255319149,5.042917815612613
benzyl alcohol,0.642105263,5.042917815612613
metamitron,1.130434783,5.042917815612613
riboflavin,1.161290323,5.042917815612613
sulfaguanidine,0.44673913,5.042917815612613
L-(+)-ascorbic acid,0.290322581,5.042917815612613
Caffeine,0.541666667,5.042917815612613
2-hydroxypyridine,0.819148936,5.042917815612613
thymine,0.234042553,5.042917815612613
